lat,lon,value,units
-60.00,-180.00,180.0,Ma
-60.00,-158.82,180.0,Ma
-60.00,-137.65,110.5,Ma
-60.00,-116.47,58.5,Ma
-60.00,-95.29,180.0,Ma
-60.00,-74.12,180.0,Ma
-60.00,-52.94,58.7,Ma
-60.00,-31.76,110.3,Ma
-60.00,-10.59,180.0,Ma
-60.00,10.59,180.0,Ma
-60.00,31.76,56.4,Ma
-60.00,52.94,30.2,Ma
-60.00,74.12,157.3,Ma
-60.00,95.29,180.0,Ma
-60.00,116.47,180.0,Ma
-60.00,137.65,180.0,Ma
-60.00,158.82,180.0,Ma
-60.00,180.00,180.0,Ma
-55.00,-150.00,180.0,Ma
-55.00,-141.11,136.5,Ma
-55.00,-132.22,83.2,Ma
-55.00,-123.33,29.8,Ma
-55.00,-114.44,62.0,Ma
-55.00,-105.56,115.3,Ma
-55.00,-96.67,168.7,Ma
-55.00,-27.73,125.8,Ma
-55.00,-21.82,161.2,Ma
-55.00,-15.91,180.0,Ma
-55.00,-10.00,180.0,Ma
-55.00,140.00,180.0,Ma
-55.00,145.57,180.0,Ma
-55.00,151.14,180.0,Ma
-55.00,156.71,180.0,Ma
-55.00,162.29,180.0,Ma
-55.00,167.86,180.0,Ma
-55.00,173.43,180.0,Ma
-55.00,179.00,180.0,Ma
-50.00,-180.00,180.0,Ma
-50.00,-158.82,180.0,Ma
-50.00,-137.65,121.4,Ma
-50.00,-116.47,40.6,Ma
-50.00,-95.29,167.7,Ma
-50.00,-10.59,180.0,Ma
-50.00,10.59,172.5,Ma
-50.00,20.00,116.1,Ma
-50.00,30.56,52.7,Ma
-50.00,31.76,45.5,Ma
-50.00,41.11,45.6,Ma
-50.00,51.67,23.8,Ma
-50.00,52.94,18.9,Ma
-50.00,62.22,74.6,Ma
-50.00,72.78,137.9,Ma
-50.00,74.12,145.9,Ma
-50.00,83.33,180.0,Ma
-50.00,93.89,180.0,Ma
-50.00,95.29,180.0,Ma
-50.00,104.44,180.0,Ma
-50.00,115.00,180.0,Ma
-50.00,116.47,180.0,Ma
-50.00,137.65,180.0,Ma
-50.00,158.82,180.0,Ma
-50.00,180.00,180.0,Ma
-43.12,-150.00,180.0,Ma
-43.12,-141.11,150.8,Ma
-43.12,-132.22,97.5,Ma
-43.12,-123.33,44.2,Ma
-43.12,-114.44,39.3,Ma
-43.12,-105.56,92.7,Ma
-43.12,-96.67,146.0,Ma
-42.14,156.71,180.0,Ma
-42.14,162.29,180.0,Ma
-42.14,167.86,180.0,Ma
-42.14,173.43,180.0,Ma
-42.14,179.00,180.0,Ma
-41.25,-27.73,97.0,Ma
-41.25,-21.82,132.4,Ma
-41.25,-15.91,167.9,Ma
-41.25,-10.00,180.0,Ma
-40.00,-180.00,180.0,Ma
-40.00,-158.82,180.0,Ma
-40.00,-137.65,134.2,Ma
-40.00,-116.47,20.8,Ma
-40.00,-95.29,147.9,Ma
-40.00,52.94,22.7,Ma
-40.00,74.12,132.3,Ma
-40.00,95.29,180.0,Ma
-40.00,158.82,180.0,Ma
-40.00,180.00,180.0,Ma
-37.50,41.11,52.1,Ma
-37.50,51.67,32.3,Ma
-37.50,62.22,57.3,Ma
-37.50,72.78,120.6,Ma
-37.50,83.33,180.0,Ma
-37.50,93.89,180.0,Ma
-37.50,104.44,180.0,Ma
-31.25,-150.00,180.0,Ma
-31.25,-141.11,167.4,Ma
-31.25,-132.22,114.0,Ma
-31.25,-123.33,60.7,Ma
-31.25,-114.44,14.5,Ma
-31.25,-105.56,67.8,Ma
-31.25,-96.67,121.2,Ma
-29.29,156.71,180.0,Ma
-29.29,162.29,180.0,Ma
-29.29,167.86,180.0,Ma
-29.29,173.43,180.0,Ma
-29.29,179.00,180.0,Ma
-27.50,-27.73,62.5,Ma
-27.50,-21.82,98.0,Ma
-25.00,41.11,59.9,Ma
-25.00,51.67,43.7,Ma
-25.00,62.22,37.1,Ma
-25.00,72.78,100.4,Ma
-25.00,83.33,163.8,Ma
-25.00,93.89,180.0,Ma
-25.00,104.44,180.0,Ma
-19.38,-150.00,180.0,Ma
-19.38,-141.11,180.0,Ma
-19.38,-132.22,131.9,Ma
-19.38,-123.33,78.5,Ma
-19.38,-114.44,25.2,Ma
-19.38,-105.56,41.7,Ma
-19.38,-96.67,95.0,Ma
-16.43,156.71,180.0,Ma
-16.43,162.29,180.0,Ma
-16.43,167.86,180.0,Ma
-16.43,173.43,180.0,Ma
-16.43,179.00,180.0,Ma
-13.75,-27.73,24.1,Ma
-13.75,-21.82,59.6,Ma
-12.50,41.11,68.4,Ma
-12.50,51.67,57.3,Ma
-12.50,62.22,14.8,Ma
-12.50,72.78,78.1,Ma
-12.50,83.33,141.4,Ma
-12.50,93.89,180.0,Ma
-12.50,104.44,180.0,Ma
-7.50,-150.00,180.0,Ma
-7.50,-141.11,180.0,Ma
-7.50,-132.22,150.1,Ma
-7.50,-123.33,96.7,Ma
-7.50,-114.44,43.4,Ma
-7.50,-105.56,15.2,Ma
-7.50,-96.67,68.5,Ma
-3.57,151.14,180.0,Ma
-3.57,156.71,180.0,Ma
-3.57,162.29,180.0,Ma
-3.57,167.86,180.0,Ma
-3.57,173.43,180.0,Ma
-3.57,179.00,180.0,Ma
0.00,-27.73,16.4,Ma
0.00,-21.82,19.1,Ma
0.00,41.11,77.1,Ma
0.00,51.67,72.2,Ma
0.00,62.22,8.8,Ma
0.00,72.78,54.5,Ma
0.00,83.33,117.8,Ma
0.00,93.89,180.0,Ma
0.00,104.44,180.0,Ma
0.00,115.00,180.0,Ma
4.38,-150.00,180.0,Ma
4.38,-141.11,180.0,Ma
4.38,-132.22,170.7,Ma
4.38,-123.33,117.4,Ma
4.38,-114.44,64.0,Ma
4.38,-105.56,10.7,Ma
4.38,-96.67,45.7,Ma
9.29,151.14,180.0,Ma
9.29,156.71,180.0,Ma
9.29,162.29,180.0,Ma
9.29,167.86,180.0,Ma
9.29,173.43,180.0,Ma
9.29,179.00,180.0,Ma
12.50,41.11,94.0,Ma
12.50,51.67,96.1,Ma
12.50,62.22,32.8,Ma
12.50,72.78,39.3,Ma
12.50,83.33,102.6,Ma
12.50,93.89,166.0,Ma
12.50,104.44,180.0,Ma
12.50,115.00,180.0,Ma
13.75,-27.73,56.8,Ma
13.75,-21.82,21.4,Ma
22.14,151.14,180.0,Ma
22.14,156.71,180.0,Ma
22.14,162.29,180.0,Ma
22.14,167.86,180.0,Ma
22.14,173.43,180.0,Ma
22.14,179.00,180.0,Ma
25.00,41.11,109.8,Ma
25.00,51.67,119.5,Ma
25.00,62.22,56.2,Ma
25.00,72.78,24.6,Ma
25.00,83.33,88.0,Ma
25.00,93.89,151.3,Ma
25.00,104.44,180.0,Ma
25.00,115.00,180.0,Ma
27.50,-45.45,180.0,Ma
27.50,-39.55,166.2,Ma
27.50,-33.64,130.7,Ma
27.50,-27.73,95.3,Ma
27.50,-21.82,59.8,Ma
35.00,151.14,180.0,Ma
35.00,156.71,180.0,Ma
35.00,162.29,180.0,Ma
35.00,167.86,180.0,Ma
35.00,173.43,180.0,Ma
35.00,179.00,180.0,Ma
41.25,-45.45,180.0,Ma
41.25,-39.55,180.0,Ma
41.25,-33.64,165.2,Ma
41.25,-27.73,129.7,Ma
41.25,-21.82,94.2,Ma
55.00,-45.45,180.0,Ma
55.00,-39.55,180.0,Ma
55.00,-33.64,180.0,Ma
55.00,-27.73,158.5,Ma
55.00,-21.82,123.0,Ma
